Year,Team,Payroll
2015,1. Los Angeles Dodgers,272789040.0
2015,2. New York Yankees,219282196.0
2015,3. Boston Red Sox,187407202.0
2015,4. Detroit Tigers,173813750.0
2015,5. San Francisco Giants,172672111.0
2015,6. Washington Nationals,164920505.0
2015,7. Los Angeles Angels,150933083.0
2015,8. Texas Rangers,142140873.0
2015,9. Philadelphia Phillies,135827500.0
2015,10. Toronto Blue Jays,122506600.0
2015,11. St. Louis Cardinals,120869458.0
2015,12. Seattle Mariners,119798060.0
2015,13. Chicago Cubs,119006885.0
2015,14. Cincinnati Reds,117197072.0
2015,15. Chicago White Sox,115238678.0
2015,16. Kansas City Royals,113618650.0
2015,17. Baltimore Orioles,110146097.0
2015,18. Minnesota Twins,108945000.0
2015,19. Milwaukee Brewers,105002536.0
2015,20. Colorado Rockies,102006130.0
2015,21. New York Mets,101409244.0
2015,22. San Diego Padres,100675896.0
2015,23. Atlanta Braves,97578565.0
2015,24. Arizona Diamondbacks,91518833.0
2015,25. Pittsburgh Pirates,88278500.0
2015,26. Cleveland Indians,86091175.0
2015,27. Oakland A's,86086667.0
2015,28. Tampa Bay Rays,76061707.0
2015,29. Houston Astros,70910100.0
2015,30. Miami Marlins,68479000.0
2014,1. Los Angeles Dodgers,235295219.0
2014,2. New York Yankees,203812506.0
2014,3. Philadelphia Phillies,180052723.0
2014,4. Boston Red Sox,162817411.0
2014,5. Detroit Tigers,162228527.0
2014,6. Los Angeles Angels,155692000.0
2014,7. San Francisco Giants,154185878.0
2014,8. Texas Rangers,136036172.0
2014,9. Washington Nationals,134704437.0
2014,10. Toronto Blue Jays,132628700.0
2014,11. Arizona Diamondbacks,112688666.0
2014,12. Cincinnati Reds,112390772.0
2014,13. St. Louis Cardinals,111020360.0
2014,14. Atlanta Braves,110897341.0
2014,15. Baltimore Orioles,107406623.0
2014,16. Milwaukee Brewers,103844806.0
2014,17. Colorado Rockies,95832071.0
2014,18. Seattle Mariners,92081943.0
2014,19. Kansas City Royals,92034345.0
2014,20. Chicago White Sox,91159254.0
2014,21. San Diego Padres,90094196.0
2014,22. New York Mets,89051758.0
2014,23. Chicago Cubs,89007857.0
2014,24. Minnesota Twins,85776500.0
